classicalGuy "Florida here we come!"
janeIzC00l "Lots of fun here in the windy city!"
pet_lover101 "Turtles are the best! I wish I had an aquarium full of them."
always_an_adventure "I can't believe you didn't say happy birthday to me."
thestarsareouttonight "Congratulations on your new hatchling!"
painted_mountain "Trouble in paradise, it's raining outside and my tortoise is hiding."
dannydandan "Look at how cute he is! #bestturtleever!"
mannytheman "I have so many things to say about this. I don't know where to start."
billymait "At any given moment the law of a nation contains things new and old."
willfred "There is no fear of our saying that the judicial combat and the bill of exchange are institutions which belong to one and the same age."
bobbybobob "I did it! I won the best slow-and-steady race, second year ranking!"
gil_marti "This is music to my ears. Stop splashing to the beat of Tchaicovsky."
joeyespin "I cant wait for the baseball game. Nachos and snacks here I come!"
curiouscat "What came first, the turtle or the egg?"
jlubbock "What we see depends mainly on what we look for"
wisdon "To understand nothing takes time."
thisiszen "Words are the fog one has to see through"
happyperson "There's no greater love than the love of a tortoise."
peaceforall "Reptiles make me happy"
dandi_lion "I want a sea turtle for christmas"
martagon "Flowers are beautiful"
ocelot "My turtle is so grumpy, he snapped at my shoes."
puma "I went running today for the first time in a long time and saw two cute stray box turtles."
colocolo "I got my son a slider for christmas. We named him Shell-don"
margay "I can't help but love these little shelled guys"
serual "Their shells are so hard."
wwolfie "He's so big he could be a snapping turtle"
callitwhatitis "She went crazy and swam all over the tank!"
annamarie "Clearly this hatchling doesn't like travel containers"
iamenglish "Check out where I'm going next week!"
bewise "the bears and the bulls are at it again"
highwater "These pants seem to be too short"
the_toaster "I'm sorry for burning your bread"
afridge "It's cold in here"
ovenoven "It's not cold in here"
choco "Who is up for some delicious treats?"
straydog "I miss my little tortoise."
disbelief "I can't believe my best friend is a turtle"
moneymoney "If I could buy anything in the world it would be a giant reptile sanctuary"
